Gender,Age,University,Degree_level,Degree_major,Residential_status,Sports_engagement,Average_sleep,Study_satisfaction,Academic_workload ,Academic_pressure,Financial_concerns,Social_relationships,Depression,Anxiety,Isolation,Stress_relief_activities,Hours Studied,Previous Scores,Extracurricular Activities,Performance Index,Sample Question Papers Practiced,CGPA,Semester,AttendaceRate,PartTimeJob,Screen_Time,Caffeine_Intake,Sleep_Quality,Mothers_Job,Fathers_job,Reason_to_Join_Domain,traveltime,studytime,Backlogs,Financial Condition,Internet Type,Network Type,Device,Adaptivity Level,Parental_Involvement,Access_to_Resources,Motivation_Level,Internet_Access,Family_Income,Peer_Influence,Parental_Education_Level,Distance_from_Home
Male,20,VTU,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,5,4,5,4,3,2,1,1,"Gaming , Online Entertainment ",7,99,Yes,91,1,7.73,1st sem,0.9075,Yes,3.4,2,10,at_home,teacher,course,2,2,0,Mid,Wifi,4G,Tab,Moderate,Low,High,Low,Yes,Low,Positive,High School,Near
Male,23,VTU,Undergraduate,Computer Science,Off-Campus,1-3 times,4-6 hrs,5,4,4,1,3,3,3,3,"Religious Activities, Social Connections, Online Entertainment",4,82,No,65,2,9.32,1st sem,0.749,No,1.9,5,5,at_home,other,course,1,2,0,Mid,Mobile Data,4G,Mobile,Moderate,Low,Medium,Low,Yes,Medium,Negative,College,Moderate
Male,19,VTU,Undergraduate,Computer Science,Off-Campus,1-3 times,2-4 hrs,5,5,5,3,4,2,3,3,Nothing ,8,51,Yes,45,2,7.98,1st sem,0.5336,No,3.9,5,6,at_home,other,other,1,2,0,Mid,Wifi,4G,Mobile,Moderate,Medium,Medium,Medium,Yes,Medium,Neutral,Postgraduate,Near
Male,20,VDIT,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,3,5,4,4,1,5,5,5,Nothing ,5,52,Yes,36,2,7.14,1st sem,0.7026,Yes,2.8,4,5,health,services,home,1,3,0,Mid,Mobile Data,4G,Mobile,Moderate,Low,Medium,Medium,Yes,Medium,Negative,High School,Moderate
Female,21,VTU,Undergraduate,Computer Science,Off-Campus,No Sports,4-6 hrs,3,5,5,2,3,5,5,4,Religious Activities,7,75,No,66,5,8.93,1st sem,0.7487,Yes,2.7,0,8,other,other,home,1,2,0,Poor,Mobile Data,3G,Mobile,Low,Medium,Medium,Medium,Yes,Medium,Neutral,College,Near
Female,24,VTU,Undergraduate,Computer Science,Off-Campus,No Sports,4-6 hrs,4,5,5,3,3,5,5,5,Sleep,3,78,No,61,6,9.27,1st sem,0.8601,Yes,3.2,3,9,services,other,reputation,1,2,0,Poor,Mobile Data,3G,Mobile,Low,Medium,Medium,Medium,Yes,Medium,Positive,Postgraduate,Near
Male,19,KLS,Undergraduate,Data Science,On-Campus,1-3 times,7-8 hrs,4,4,4,5,2,5,4,4,"Gaming , Sleep ",7,73,Yes,63,6,8.76,1st sem,0.5533,No,3.4,1,8,other,other,home,1,2,0,Mid,Wifi,4G,Mobile,Low,Medium,Low,Low,Yes,Low,Neutral,High School,Moderate
Male,24,VDIT,Undergraduate,Data Science,Off-Campus,No Sports,4-6 hrs,3,4,4,5,4,3,2,2,"Gaming , Sleep ",8,45,Yes,42,6,7.91,1st sem,0.57,No,3,1,1,other,teacher,home,2,2,0,Mid,Wifi,4G,Mobile,Moderate,Low,High,Medium,Yes,High,Negative,High School,Far
Male,20,KLS,Undergraduate,Computer Science,Off-Campus,1-3 times,4-6 hrs,3,4,3,4,2,3,4,3,Nothing ,5,77,No,61,2,7.09,1st sem,0.6318,No,1.4,1,2,services,other,home,1,2,0,Mid,Wifi,4G,Mobile,Low,Medium,High,High,Yes,Medium,Neutral,College,Near
Male,21,KLS,Undergraduate,Computer Science,Off-Campus,No Sports,4-6 hrs,3,5,3,5,1,5,5,5,Sports and Fitness ,4,89,No,69,0,5.8,1st sem,0.6332,Yes,2,3,8,other,other,home,1,2,0,Mid,Mobile Data,3G,Mobile,Moderate,Medium,Medium,Medium,Yes,High,Positive,High School,Moderate
Male,22,VDIT,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,5,4,4,1,4,3,3,1,Nothing ,8,91,No,84,5,7.71,1st sem,0.8661,Yes,3.8,5,8,teacher,health,reputation,1,2,0,Mid,Wifi,4G,Mobile,Low,Low,High,Medium,No,Medium,Neutral,College,Moderate
Male,21,VDIT,Undergraduate,Computer Science,Off-Campus,1-3 times,4-6 hrs,4,5,4,4,4,2,3,1,"Gaming , Online Entertainment ",8,79,No,73,2,8.94,1st sem,0.6254,No,1.7,0,8,services,other,reputation,3,3,0,Mid,Wifi,4G,Mobile,Low,Medium,High,Low,Yes,Low,Neutral,High School,Near
Male,19,VTU,Undergraduate,Computer Science,On-Campus,No Sports,4-6 hrs,5,3,5,5,1,4,4,4,"Religious Activities, Social Connections, Online Entertainment",3,47,No,27,2,6.24,1st sem,0.8165,No,2.1,3,7,health,services,course,1,1,0,Mid,Mobile Data,3G,Mobile,Moderate,Medium,Medium,Low,Yes,Medium,Positive,High School,Near
