Gender,Age,University,Degree_level,Degree_major,Academic_year,CGPA,Residential_status,Sports_engagement,Average_sleep,Study_satisfaction,Academic_workload ,Academic_pressure,Financial_concerns,Social_relationships,Depression,Anxiety,Isolation,Stress_relief_activities
Male,20,VTU,Undergraduate,Data Science,2nd year,6.69,Off-Campus,No Sports,4-6 hrs,5,4,5,4,3,2,1,1,"Religious Activities, Social Connections, Online Entertainment"
Male,20,VTU,Undergraduate,Computer Science,3rd year,8.81,Off-Campus,1-3 times,4-6 hrs,5,4,4,1,3,3,3,3,Online Entertainment
Male,20,VTU,Undergraduate,Computer Science,3rd year,7.52,Off-Campus,1-3 times,2-4 hrs,5,5,5,3,4,2,3,3,"Religious Activities, Sports and Fitness, Online Entertainment"
Male,20,VDIT,Undergraduate,Computer Science,3rd year,8.84,On-Campus,No Sports,4-6 hrs,3,5,4,4,1,5,5,5,Online Entertainment
Female,20,VTU,Undergraduate,Computer Science,3rd year,5.38,Off-Campus,No Sports,4-6 hrs,3,5,5,2,3,5,5,4,Online Entertainment
Female,20,VTU,Undergraduate,Computer Science,3rd year,7.82,Off-Campus,No Sports,4-6 hrs,4,5,5,3,3,5,5,5,"Religious Activities, Social Connections, Online Entertainment"
Male,26,KLS,Undergraduate,Data Science,1st year,5.8,On-Campus,1-3 times,7-8 hrs,4,4,4,5,2,5,4,4,"Social Connections, Online Entertainment"
Male,22,VDIT,Undergraduate,Data Science,2nd year,8.27,Off-Campus,No Sports,4-6 hrs,3,4,4,5,4,3,2,2,"Religious Activities, Social Connections, Online Entertainment"
Male,20,KLS,Undergraduate,Computer Science,3rd year,5.73,Off-Campus,1-3 times,4-6 hrs,3,4,3,4,2,3,4,3,"Religious Activities, Social Connections, Online Entertainment, Outdoor Activities"
Male,23,KLS,Undergraduate,Computer Science,3rd year,7.32,Off-Campus,No Sports,4-6 hrs,3,5,3,5,1,5,5,5,Sports and Fitness
Male,20,VDIT,Undergraduate,Computer Science,2nd year,8.31,On-Campus,No Sports,4-6 hrs,5,4,4,1,4,3,3,1,"Religious Activities, Online Entertainment"
Male,20,VDIT,Undergraduate,Computer Science,3rd year,8.08,Off-Campus,1-3 times,4-6 hrs,4,5,4,4,4,2,3,1,"Religious Activities, Sports and Fitness, Social Connections, Online Entertainment, Outdoor Activities"
Male,21,VTU,Undergraduate,Computer Science,3rd year,8.55,On-Campus,No Sports,4-6 hrs,5,3,5,5,1,4,4,4,Nothing
Male,19,VTU,Undergraduate,Data Science,1st year,8.91,Off-Campus,No Sports,4-6 hrs,3,3,4,5,3,5,4,5,Religious Activities
Female,20,VTU,Undergraduate,Data Science,1st year,8.32,Off-Campus,No Sports,4-6 hrs,3,3,3,3,2,4,3,5,Religious Activities
